<<<<<<< HEAD
Symbol,Company Name,Industry
3MINDIA,3M India Ltd.,SERVICES
8KMILES,8K Miles Soft Services Ltd.,IT
ABB,ABB India Ltd.,INDUSTRIAL MANUFACTURING
ACC,ACC Ltd.,CEMENT & CEMENT PRODUCTS
AIAENG,AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING
APLAPOLLO,APL Apollo Tubes Ltd.,METALS
AUBANK,AU Small Finance Bank Ltd.,FINANCIAL SERVICES
AARTIIND,Aarti Industries Ltd.,CHEMICALS
ABAN,Aban Offshore Ltd.,ENERGY
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES
ADANIPOWER,Adani Power Ltd.,ENERGY
ADANITRANS,Adani Transmission Ltd.,ENERGY
ABCAPITAL,Aditya Birla Capital Ltd.,FINANCIAL SERVICES
ABFRL,Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS
ADVENZYMES,Advanced Enzyme Tech Ltd.,CONSUMER GOODS
AEGISCHEM,Aegis Logistics Ltd.,ENERGY
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,PHARMA
AKZOINDIA,Akzo Nobel India Ltd.,CONSUMER GOODS
APLLTD,Alembic Pharmaceuticals Ltd.,PHARMA
ALKEM,Alkem Laboratories Ltd.,PHARMA
ALBK,Allahabad Bank,FINANCIAL SERVICES
ALLCARGO,Allcargo Logistics Ltd.,SERVICES
AMARAJABAT,Amara Raja Batteries Ltd.,AUTOMOBILE
AMBUJACEM,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS
ANDHRABANK,Andhra Bank,FINANCIAL SERVICES
APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,HEALTHCARE SERVICES
APOLLOTYRE,Apollo Tyres Ltd.,AUTOMOBILE
ARVIND,Arvind Ltd.,TEXTILES
ASAHIINDIA,Asahi India Glass Ltd.,AUTOMOBILE
ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILE
ASHOKA,Ashoka Buildcon Ltd.,CONSTRUCTION
ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS
ASTRAL,Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING
ATUL,Atul Ltd.,CHEMICALS
AUROPHARMA,Aurobindo Pharma Ltd.,PHARMA
AVANTIFEED,Avanti Feeds Ltd.,CONSUMER GOODS
DMART,Avenue Supermarts Ltd.,CONSUMER GOODS
AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES
BASF,BASF India Ltd.,CHEMICALS
BEML,BEML Ltd.,INDUSTRIAL MANUFACTURING
BFUTILITIE,BF Utilities Ltd.,CONSTRUCTION
BGRENERGY,BGR Energy Systems Ltd,CONSTRUCTION
BSE,BSE Ltd.,FINANCIAL SERVICES
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE
BAJAJCORP,Bajaj Corp Ltd.,CONSUMER GOODS
BAJAJELEC,Bajaj Electricals Ltd,CONSUMER GOODS
BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES
BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES
BAJAJHIND,Bajaj Hindusthan Sugar Ltd.,CONSUMER GOODS
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES
BALKRISIND,Balkrishna Industries Ltd.,AUTOMOBILE
BALLARPUR,Ballarpur Industries Ltd.,PAPER
BALMLAWRIE,Balmer Lawrie & Co. Ltd.,SERVICES
BALRAMCHIN,Balrampur Chini Mills Ltd.,CONSUMER GOODS
BANKBARODA,Bank of Baroda,FINANCIAL SERVICES
BANKINDIA,Bank of India,FINANCIAL SERVICES
BATAINDIA,Bata India Ltd.,CONSUMER GOODS
BERGEPAINT,Berger Paints India Ltd.,CONSUMER GOODS
BEL,Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING
BHARATFIN,Bharat Financial Inclusion Ltd.,FINANCIAL SERVICES
BHARATFORG,Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING
BHEL,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING
BPCL,Bharat Petroleum Corporation Ltd.,ENERGY
BHARTIARTL,Bharti Airtel Ltd.,TELECOM
INFRATEL,Bharti Infratel Ltd.,TELECOM
BHUSANSTL,Bhushan Steel Ltd.,METALS
BIOCON,Biocon Ltd.,PHARMA
BIRLACORPN,Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS
BLISSGVS,Bliss GVS Pharma Ltd.,PHARMA
BLUEDART,Blue Dart Express Ltd.,SERVICES
BLUESTARCO,Blue Star Ltd.,CONSUMER GOODS
BBTC,Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS
BOMDYEING,Bombay Dyeing & Manufacturing Co. Ltd.,TEXTILES
BRFL,Bombay Rayon Fashions Ltd.,TEXTILES
BOSCHLTD,Bosch Ltd.,AUTOMOBILE
BRIGADE,Brigade Enterprises Ltd.,CONSTRUCTION
BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS
CARERATING,CARE Ratings Ltd.,FINANCIAL SERVICES
